ProspectType,ActionType,SubAction,Nationality,IDType,ID,ActionDate
Live-In,Placements,New Family,Filipina,Contract,1022069,2023-05-01 07:58:45
Live-In,Placements,New Family,Filipina,Contract,1022084,2023-05-01 10:46:20
Live-In,Placements,New Family,Filipina,Contract,1022093,2023-05-01 11:51:14
Live-In,Placements,New Family,Filipina,Contract,1022094,2023-05-01 11:54:54
Live-In,Placements,New Family,Filipina,Contract,1022102,2023-05-01 14:08:22
Live-In,Placements,New Family,Filipina,Contract,1022106,2023-05-01 16:42:13
Live-In,Placements,New Family,Filipina,Contract,1022114,2023-05-01 18:14:50
Live-In,Placements,New Family,Filipina,Contract,1022116,2023-05-01 18:30:12
Live-In,Placements,New Family,Filipina,Contract,1022121,2023-05-01 19:13:00
Live-In,Placements,New Family,Filipina,Contract,1022124,2023-05-01 20:59:00
Live-In,Placements,New Family,Filipina,Contract,1022125,2023-05-01 21:45:31
Live-In,Placements,New Family,Filipina,Contract,1022126,2023-05-01 21:55:53
Live-In,Placements,New Family,Filipina,Contract,1022147,2023-05-02 15:50:53
Live-In,Placements,New Family,Filipina,Contract,1022155,2023-05-02 20:20:08
Live-In,Placements,New Family,Filipina,Contract,1022158,2023-05-03 10:03:15
Live-In,Placements,New Family,Filipina,Contract,1022166,2023-05-03 13:25:46
Live-In,Placements,New Family,Filipina,Contract,1022182,2023-05-03 20:15:17
Live-In,Placements,New Family,Filipina,Contract,1022195,2023-05-04 10:10:43
Live-In,Placements,New Family,Filipina,Contract,1022197,2023-05-04 11:31:36
Live-In,Placements,New Family,Filipina,Contract,1022202,2023-05-04 13:48:30
Live-In,Placements,New Family,Filipina,Contract,1022205,2023-05-04 14:38:22
Live-In,Placements,New Family,Filipina,Contract,1022207,2023-05-04 14:48:39
Live-In,Placements,New Family,Filipina,Contract,1022215,2023-05-04 18:38:48
Live-In,Placements,New Family,Filipina,Contract,1022217,2023-05-04 19:41:28
Live-In,Placements,New Family,Filipina,Contract,1022223,2023-05-05 08:11:48
Live-In,Placements,New Family,Filipina,Contract,1022227,2023-05-05 09:33:54
Live-In,Placements,New Family,Filipina,Contract,1022230,2023-05-05 11:34:13
Live-In,Placements,New Family,Filipina,Contract,1022237,2023-05-05 16:39:58
Live-In,Placements,New Family,Filipina,Contract,1022241,2023-05-05 17:58:07
Live-In,Placements,New Family,Filipina,Contract,1022242,2023-05-05 17:59:15
Live-In,Placements,New Family,Filipina,Contract,1022247,2023-05-05 20:32:33
Live-In,Placements,New Family,Filipina,Contract,1022254,2023-05-06 11:02:03
Live-In,Placements,New Family,Filipina,Contract,1022255,2023-05-06 11:27:13
Live-In,Placements,New Family,Filipina,Contract,1022256,2023-05-06 11:28:11
Live-In,Placements,New Family,Filipina,Contract,1022267,2023-05-06 14:59:10
Live-In,Placements,New Family,Filipina,Contract,1022272,2023-05-06 16:12:34
Live-In,Placements,New Family,Filipina,Contract,1022284,2023-05-07 08:07:21
Live-In,Placements,New Family,Filipina,Contract,1022287,2023-05-07 10:59:43
Live-In,Placements,New Family,Filipina,Contract,1022301,2023-05-07 15:18:43
Live-In,Placements,New Family,Filipina,Contract,1022305,2023-05-07 18:23:53
Live-In,Placements,New Family,Filipina,Contract,1022307,2023-05-07 20:26:04
Live-In,Placements,New Family,Filipina,Contract,1022317,2023-05-08 10:19:39
Live-In,Placements,New Family,Filipina,Contract,1022325,2023-05-08 13:44:37
Live-In,Placements,New Family,Filipina,Contract,1022331,2023-05-08 15:08:46
Live-In,Placements,New Family,Filipina,Contract,1022332,2023-05-08 15:22:50
Live-In,Placements,New Family,Filipina,Contract,1022340,2023-05-08 16:54:56
Live-In,Placements,New Family,Filipina,Contract,1022342,2023-05-08 17:21:23
Live-In,Placements,New Family,Filipina,Contract,1022349,2023-05-08 19:42:45
Live-In,Placements,New Family,Filipina,Contract,1022350,2023-05-08 20:58:32
Live-In,Placements,New Family,Filipina,Contract,1022361,2023-05-09 10:50:03
Live-In,Placements,New Family,Filipina,Contract,1022369,2023-05-09 12:53:33
Live-In,Placements,New Family,Filipina,Contract,1022370,2023-05-09 13:13:08
Live-In,Placements,New Family,Filipina,Contract,1022379,2023-05-09 15:42:08
Live-In,Placements,New Family,Filipina,Contract,1022380,2023-05-09 17:12:40
Live-In,Placements,New Family,Filipina,Contract,1022386,2023-05-09 20:38:21
Live-In,Placements,New Family,Filipina,Contract,1022390,2023-05-10 06:18:57
Live-In,Placements,New Family,Filipina,Contract,1022393,2023-05-10 08:12:29
Live-In,Placements,New Family,Filipina,Contract,1022395,2023-05-10 09:47:47
Live-In,Placements,New Family,Filipina,Contract,1022400,2023-05-10 12:22:57
Live-In,Placements,New Family,Filipina,Contract,1022409,2023-05-10 16:21:33
Live-In,Placements,New Family,Filipina,Contract,1022411,2023-05-10 16:35:26
Live-In,Placements,New Family,Filipina,Contract,1022422,2023-05-11 10:30:24
Live-In,Placements,New Family,Filipina,Contract,1022426,2023-05-11 12:13:18
Live-In,Placements,New Family,Filipina,Contract,1022439,2023-05-11 18:06:33
Live-In,Placements,New Family,Filipina,Contract,1022442,2023-05-11 21:09:04
Live-In,Placements,New Family,Filipina,Contract,1022443,2023-05-11 21:32:18
Live-In,Placements,New Family,Filipina,Contract,1022447,2023-05-12 09:57:56
Live-In,Placements,New Family,Filipina,Contract,1022453,2023-05-12 12:01:16
Live-In,Placements,New Family,Filipina,Contract,1022463,2023-05-12 16:14:06
Live-In,Placements,New Family,Filipina,Contract,1022474,2023-05-12 20:25:39
Live-In,Placements,New Family,Filipina,Contract,1022475,2023-05-13 08:08:18
Live-In,Placements,New Family,Filipina,Contract,1022478,2023-05-13 08:15:40
Live-In,Placements,New Family,Filipina,Contract,1022483,2023-05-13 11:18:43
Live-In,Placements,New Family,Filipina,Contract,1022492,2023-05-13 15:17:30
Live-In,Placements,New Family,Filipina,Contract,1022494,2023-05-13 15:40:16
Live-In,Placements,New Family,Filipina,Contract,1022499,2023-05-13 20:24:08
Live-In,Placements,New Family,Filipina,Contract,1022500,2023-05-13 22:01:42
Live-In,Placements,New Family,Filipina,Contract,1022513,2023-05-14 14:53:37
Live-In,Placements,New Family,Filipina,Contract,1022514,2023-05-14 15:09:34
Live-In,Placements,New Family,Filipina,Contract,1022520,2023-05-14 17:41:48
Live-In,Placements,New Family,Filipina,Contract,1022523,2023-05-14 20:48:30
Live-In,Placements,New Family,Filipina,Contract,1022524,2023-05-15 08:10:20
Live-In,Placements,New Family,Filipina,Contract,1022532,2023-05-15 09:31:50
Live-In,Placements,New Family,Filipina,Contract,1022533,2023-05-15 10:01:18
Live-In,Placements,New Family,Filipina,Contract,1022549,2023-05-15 14:39:46
Live-In,Placements,New Family,Filipina,Contract,1022559,2023-05-15 18:56:04
Live-In,Placements,New Family,Filipina,Contract,1022564,2023-05-16 05:54:52
Live-In,Placements,New Family,Filipina,Contract,1022565,2023-05-16 08:59:52
Live-In,Placements,New Family,Filipina,Contract,1022567,2023-05-16 10:21:41
Live-In,Placements,New Family,Filipina,Contract,1022575,2023-05-16 14:53:37
Live-In,Placements,New Family,Filipina,Contract,1022576,2023-05-16 14:54:21
Live-In,Placements,New Family,Filipina,Contract,1022580,2023-05-16 17:16:19
Live-In,Placements,New Family,Filipina,Contract,1022593,2023-05-17 10:25:26
Live-In,Placements,New Family,Filipina,Contract,1022595,2023-05-17 10:35:25
Live-In,Placements,New Family,Filipina,Contract,1022601,2023-05-17 13:14:41
Live-In,Placements,New Family,Filipina,Contract,1022608,2023-05-17 15:27:14
Live-In,Placements,New Family,Filipina,Contract,1022613,2023-05-17 17:54:30
Live-In,Placements,New Family,Filipina,Contract,1022617,2023-05-17 22:02:33
Live-In,Placements,New Family,Filipina,Contract,1022620,2023-05-18 08:21:26
Live-In,Placements,New Family,Filipina,Contract,1022628,2023-05-18 13:43:38
Live-In,Placements,New Family,Filipina,Contract,1022639,2023-05-18 20:07:04
Live-In,Placements,New Family,Filipina,Contract,1022644,2023-05-19 09:20:46
Live-In,Placements,New Family,Filipina,Contract,1022649,2023-05-19 13:24:53
Live-In,Placements,New Family,Filipina,Contract,1022663,2023-05-20 08:16:01
Live-In,Placements,New Family,Filipina,Contract,1022671,2023-05-20 14:23:41
Live-In,Placements,New Family,Filipina,Contract,1022675,2023-05-20 16:04:50
Live-In,Placements,New Family,Filipina,Contract,1022678,2023-05-20 17:25:41
Live-In,Placements,New Family,Filipina,Contract,1022684,2023-05-21 08:05:37
Live-In,Placements,New Family,Filipina,Contract,1022691,2023-05-21 15:37:07
Live-In,Placements,New Family,Filipina,Contract,1022699,2023-05-21 21:45:29
Live-In,Placements,New Family,Filipina,Contract,1022701,2023-05-22 08:08:38
Live-In,Placements,New Family,Filipina,Contract,1022707,2023-05-22 11:11:03
Live-In,Placements,New Family,Filipina,Contract,1022716,2023-05-22 14:20:33
Live-In,Placements,New Family,Filipina,Contract,1022717,2023-05-22 14:32:59
Live-In,Placements,New Family,Filipina,Contract,1022727,2023-05-23 10:02:25
Live-In,Placements,New Family,Filipina,Contract,1022731,2023-05-23 11:22:18
Live-In,Placements,New Family,Filipina,Contract,1022732,2023-05-23 11:56:21
Live-In,Placements,New Family,Filipina,Contract,1022738,2023-05-23 16:06:43
Live-In,Placements,New Family,Filipina,Contract,1022744,2023-05-23 17:59:05
Live-In,Placements,New Family,Filipina,Contract,1022747,2023-05-23 19:07:15
Live-In,Placements,New Family,Filipina,Contract,1022762,2023-05-24 13:36:36
Live-In,Placements,New Family,Filipina,Contract,1022764,2023-05-24 14:32:36
Live-In,Placements,New Family,Filipina,Contract,1022765,2023-05-24 15:37:15
Live-In,Placements,New Family,Filipina,Contract,1022766,2023-05-24 16:17:20
Live-In,Placements,New Family,Filipina,Contract,1022768,2023-05-24 18:10:14
Live-In,Placements,New Family,Filipina,Contract,1022770,2023-05-24 19:53:27
Live-In,Placements,New Family,Filipina,Contract,1022781,2023-05-25 12:13:44
Live-In,Placements,New Family,Filipina,Contract,1022782,2023-05-25 12:31:15
Live-In,Placements,New Family,Filipina,Contract,1022785,2023-05-25 12:52:24
Live-In,Placements,New Family,Filipina,Contract,1022791,2023-05-25 17:00:28
Live-In,Placements,New Family,Filipina,Contract,1022797,2023-05-25 19:30:56
Live-In,Placements,New Family,Filipina,Contract,1022801,2023-05-25 22:15:50
Live-In,Placements,New Family,Filipina,Contract,1022804,2023-05-26 08:08:29
Live-In,Placements,New Family,Filipina,Contract,1022819,2023-05-26 13:39:37
Live-In,Placements,New Family,Filipina,Contract,1022825,2023-05-26 15:33:59
Live-In,Placements,New Family,Filipina,Contract,1022835,2023-05-26 17:29:34
Live-In,Placements,New Family,Filipina,Contract,1022837,2023-05-26 19:15:38
Live-In,Placements,New Family,Filipina,Contract,1022843,2023-05-27 08:06:43
Live-In,Placements,New Family,Filipina,Contract,1022844,2023-05-27 08:08:04
Live-In,Placements,New Family,Filipina,Contract,1022865,2023-05-27 16:07:57
Live-In,Placements,New Family,Filipina,Contract,1022866,2023-05-27 16:43:33
Live-In,Placements,New Family,Filipina,Contract,1022868,2023-05-27 17:18:42
Live-In,Placements,New Family,Filipina,Contract,1022869,2023-05-27 21:39:14
Live-In,Placements,New Family,Filipina,Contract,1022873,2023-05-28 10:01:56
Live-In,Placements,New Family,Filipina,Contract,1022883,2023-05-28 13:06:10
Live-In,Placements,New Family,Filipina,Contract,1022890,2023-05-28 15:13:37
Live-In,Placements,New Family,Filipina,Contract,1022894,2023-05-28 17:48:20
Live-In,Placements,New Family,Filipina,Contract,1022896,2023-05-28 18:29:51
Live-In,Placements,New Family,Filipina,Contract,1022906,2023-05-29 11:13:40
Live-In,Placements,New Family,Filipina,Contract,1022907,2023-05-29 11:15:30
Live-In,Placements,New Family,Filipina,Contract,1022913,2023-05-29 13:09:02
Live-In,Placements,New Family,Filipina,Contract,1022919,2023-05-29 14:32:06
Live-In,Placements,New Family,Filipina,Contract,1022920,2023-05-29 14:34:10
Live-In,Placements,New Family,Filipina,Contract,1022932,2023-05-30 08:25:30
Live-In,Placements,New Family,Filipina,Contract,1022942,2023-05-30 12:47:11
Live-In,Placements,New Family,Filipina,Contract,1022943,2023-05-30 12:47:46
Live-In,Placements,New Family,Filipina,Contract,1022946,2023-05-30 13:34:34
Live-In,Placements,New Family,Filipina,Contract,1022950,2023-05-30 14:46:54
Live-In,Placements,New Family,Filipina,Contract,1022951,2023-05-30 14:53:21
Live-In,Placements,New Family,Filipina,Contract,1022961,2023-05-30 21:07:41
Live-In,Placements,New Family,Filipina,Contract,1022962,2023-05-30 21:30:55
Live-In,Placements,New Family,Filipina,Contract,1022967,2023-05-31 08:09:36
Live-In,Placements,New Family,Filipina,Contract,1022968,2023-05-31 08:10:24
Live-In,Placements,New Family,Filipina,Contract,1022978,2023-05-31 12:01:01
Live-In,Placements,New Family,Filipina,Contract,1022987,2023-05-31 12:52:42
Live-In,Placements,New Family,Filipina,Contract,1023012,2023-05-31 17:28:17
Live-In,Placements,New Family,Filipina,Contract,1023026,2023-05-31 19:55:42
Live-In,Placements,New Family,Filipina,Contract,1023054,2023-06-01 11:13:13
Live-In,Placements,New Family,Filipina,Contract,1023058,2023-06-01 12:05:31
Live-In,Placements,New Family,Filipina,Contract,1023070,2023-06-01 16:15:55
Live-In,Placements,New Family,Filipina,Contract,1023091,2023-06-02 10:53:22
Live-In,Placements,New Family,Filipina,Contract,1023094,2023-06-02 11:54:57
Live-In,Placements,New Family,Filipina,Contract,1023117,2023-06-02 16:04:02
Live-In,Placements,New Family,Filipina,Contract,1023122,2023-06-02 21:25:24
Live-In,Placements,New Family,Filipina,Contract,1023132,2023-06-03 16:02:27
Live-In,Placements,New Family,Filipina,Contract,1023133,2023-06-03 16:59:35
Live-In,Placements,New Family,Filipina,Contract,1023135,2023-06-03 20:26:06
Live-In,Placements,New Family,Filipina,Contract,1023152,2023-06-04 12:37:50
Live-In,Placements,New Family,Filipina,Contract,1023153,2023-06-04 12:59:19
Live-In,Placements,New Family,Filipina,Contract,1023154,2023-06-04 13:52:59
Live-In,Placements,New Family,Filipina,Contract,1023155,2023-06-04 14:24:55
Live-In,Placements,New Family,Filipina,Contract,1023157,2023-06-04 14:54:53
Live-In,Placements,New Family,Filipina,Contract,1023158,2023-06-04 15:37:50
Live-In,Placements,New Family,Filipina,Contract,1023160,2023-06-04 16:36:23
Live-In,Placements,New Family,Filipina,Contract,1023162,2023-06-04 17:27:17
Live-In,Placements,New Family,Filipina,Contract,1023164,2023-06-04 18:30:20
Live-In,Placements,New Family,Filipina,Contract,1023173,2023-06-05 08:19:00
Live-In,Placements,New Family,Filipina,Contract,1023185,2023-06-05 11:52:16
Live-In,Placements,New Family,Filipina,Contract,1023187,2023-06-05 12:08:05
Live-In,Placements,New Family,Filipina,Contract,1023191,2023-06-05 12:37:34
Live-In,Placements,New Family,Filipina,Contract,1023194,2023-06-05 13:38:19
Live-In,Placements,New Family,Filipina,Contract,1023196,2023-06-05 15:53:38
Live-In,Placements,New Family,Filipina,Contract,1023204,2023-06-05 20:51:30
Live-In,Placements,New Family,Filipina,Contract,1023208,2023-06-06 08:13:53
